address,person,wiki,year,person_year,PAON,Street,Postcode
"7 HOBURY STREET, CHELSEA SW10 0JP",George Meredith O. M.,https://en.wikipedia.org/wiki/George_Meredith,01/01/1976,George Meredith O. M._1976,7,,SW10 0JP
"7 REECE MEWS, SOUTH KENSINGTON SW7 3HE",Francis Bacon,https://en.wikipedia.org/wiki/Francis_Bacon,01/01/2017,Francis Bacon_2017,7,,SW7 3HE
"7 KENSINGTON PARK GARDENS, NOTTING HILL W11 3HB",William Crookes,https://en.wikipedia.org/wiki/Sir_William_Crookes,01/01/1967,William Crookes_1967,7,,W11 3HB
"7 ADDISON BRIDGE PLACE, WEST KENSINGTON W14 8XP",Samuel Taylor Coleridge,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,01/01/1950,Samuel Taylor Coleridge_1950,7, ADDISON BRIDGE PLACE,W14 8XP
"7 FITZROY SQUARE, FITZROVIA W1T 5HL",Sir Charles Eastlake,https://en.wikipedia.org/wiki/Charles_Eastlake,01/01/1985,Sir Charles Eastlake_1985,7, FITZROY SQUARE,W1T 5HL
"7 BENTINCK STREET, MARYLEBONE W1U 2EH",Edward Gibbon,https://en.wikipedia.org/wiki/Edward_Gibbon,01/01/1964,Edward Gibbon_1964,7,,W1U 2EH
"7 NORTH COMMON ROAD, EALING W5 2QB",Dorothea Lambert Chambers,https://en.wikipedia.org/wiki/Dorothea_Lambert_Chambers,01/01/2005,Dorothea Lambert Chambers_2005,7, NORTH COMMON ROAD,W5 2QB
"7 HOLLAND STREET, KENSINGTON W8 4LX",Radclyffe Hall,https://en.wikipedia.org/wiki/Radclyffe_Hall,01/01/1992,Radclyffe Hall_1992,7,,W8 4LX
"7 GOWER STREET, BLOOMSBURY WC1E 6HA",Pre-Raphaelite Brotherhood,https://en.wikipedia.org/wiki/Pre-Raphaelite_Brotherhood,01/01/1998,Pre-Raphaelite Brotherhood_1998,7,,WC1E 6HA
"8 SEKFORDE STREET, CLERKENWELL EC1R 0HD",John Groom,https://en.wikipedia.org/w/index.php?title=John_Groom_(philanthropist)&action=edit&redlink=1,01/01/1997,John Groom_1997,8,SEKFORDE STREET,EC1R 0HD
"8 CANONBURY SQUARE, ISLINGTON N1 2AU",Samuel Phelps,https://en.wikipedia.org/wiki/Samuel_Phelps,01/01/1911,Samuel Phelps_1911,8, CANONBURY SQUARE,N1 2AU
"8 REGENT'S PARK TERRACE, CAMDEN TOWN NW1 7EE",Humphrey Jennings,https://en.wikipedia.org/wiki/Humphrey_Jennings,01/01/2006,Humphrey Jennings_2006,8,S PARK TERRACE,NW1 7EE
"8 MEADWAY, HAMPSTEAD GARDEN SUBURB NW11 7JT,",Robert Donat,https://en.wikipedia.org/wiki/Robert_Donat,01/01/1994,Robert Donat_1994,8,,NW11 7JT
"8 FROGNAL GARDENS, HAMPSTEAD NW3 6UX",Alastair Sim,https://en.wikipedia.org/wiki/Alastair_Sim,01/01/2008,Alastair Sim_2008,8,,NW3 6UX
"8 ARGYLL STREET, SOHO W1F 7TF",Washington Irving,https://en.wikipedia.org/wiki/Washington_Irving,01/01/1983,Washington Irving_1983,8,,W1F 7TF
"8 TAVITON STREET, BLOOMSBURY WC1H 0BX",Hugh Price Hughes,https://en.wikipedia.org/wiki/Hugh_Price_Hughes,01/01/1989,Hugh Price Hughes_1989,8,,WC1H 0BX
"8 NORTH VIEW, WIMBLEDON SW19 4UJ",Josephine Butler,https://en.wikipedia.org/wiki/Josephine_Butler,01/01/2001,Josephine Butler_2001,8,,SW19 4UJ
"8 LENNOX GARDENS, BROMPTON SW1X 0DG",Count Edward Raczynski,https://en.wikipedia.org/wiki/Edward_Bernard_Raczy%C5%84ski,01/01/2004,Count Edward Raczynski_2004,8,,SW1X 0DG
"8 WILTON STREET, BELGRAVIA SW1X 7AF",Henry Gray,https://en.wikipedia.org/wiki/Henry_Gray,01/01/1947,Henry Gray_1947,8,,SW1X 7AF
"8 MARLBOROUGH STREET, CHELSEA SW3 3PS",Sir Frederick Ashton,https://en.wikipedia.org/wiki/Frederick_Ashton,01/01/1931,Sir Frederick Ashton_1931,8,,SW3 3PS
"8 SOUTH BOLTON GARDENS, SOUTH KENSINGTON SW5 0DH",Sir William Orpen,https://en.wikipedia.org/wiki/William_Orpen,01/01/1978,Sir William Orpen_1978,8,,SW5 0DH
"8 MELBURY ROAD, HOLLAND PARK W14 8LN",Marcus Stone,https://en.wikipedia.org/wiki/Marcus_Stone,01/01/1994,Marcus Stone_1994,8, MELBURY ROAD,W14 8LN
"8 ADAM STREET, CHARING CROSS WC2N 6AA",Sir Richard Arkwright,https://en.wikipedia.org/wiki/Richard_Arkwright,01/01/1984,Sir Richard Arkwright_1984,8,,WC2N 6AA
"9 ROCHESTER TERRACE, CAMDEN NW1 9JN",'Father' Henry Willis,https://en.wikipedia.org/wiki/Henry_Willis,01/01/1986,'Father' Henry Willis_1986,9, ROCHESTER TERRACE,NW1 9JN
"9 HOWITT ROAD, BELSIZE PARK NW3 4LT",Ramsay Macdonald,https://en.wikipedia.org/wiki/Ramsay_Macdonald,01/01/1963,Ramsay Macdonald_1963,9, HOWITT ROAD,NW3 4LT
"9 ETON VILLAS, BELSIZE PARK NW3 5SX",Alfred Stevens,https://en.wikipedia.org/wiki/Alfred_Stevens_(sculptor),01/01/1924,Alfred Stevens_1924,9,,NW3 5SX
"9 BENTINCK STREET, MARYLEBONE W1U 2EJ",James Smithson,https://en.wikipedia.org/wiki/James_Smithson,01/01/2008,James Smithson_2008,9,,W1U 2EJ
"9 CAMPDEN HILL SQUARE, HOLLAND PARK W8 9LB",John McDouall Stuart,https://en.wikipedia.org/wiki/John_McDouall_Stuart,01/01/1962,John McDouall Stuart_1962,9, CAMPDEN HILL SQUARE,W8 9LB
"9 FITZROY SQUARE, FITZROVIA W1T 5HW",August Wilhelm Hofmann,https://en.wikipedia.org/wiki/August_Wilhelm_Hofmann,01/01/1985,August Wilhelm Hofmann_1985,9, FITZROY SQUARE,W1T 5HW
"90 WARDOUR STREET, SOHO, LONDON W1, SITE OF THE MARQUEE CLUB",Keith Moon,https://en.wikipedia.org/wiki/Keith_Moon,01/01/2009,Keith Moon_2009,9,,
"9 GILMORE ROAD, LEE SE13 5AD",James Elroy Flecker,https://en.wikipedia.org/wiki/James_Elroy_Flecker,01/01/1986,James Elroy Flecker_1986,9, GILMORE ROAD,SE13 5AD
"9 GILSTON ROAD, CHELSEA SW10 9SJ",Robert Fortune,https://en.wikipedia.org/wiki/Robert_Fortune,01/01/1998,Robert Fortune_1998,9, GILSTON ROAD,SW10 9SJ
"9 NORTH VIEW, WIMBLEDON SW19 4UJ",Sir Ernst Chain,https://en.wikipedia.org/wiki/Ernst_Chain,01/01/1973,Sir Ernst Chain_1973,9,,SW19 4UJ
"9 UPPER BELGRAVE STREET, BELGRAVIA SW1X 8BD","Alfred, Lord Tennyson","https://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",01/01/1994,"Alfred, Lord Tennyson_1994",9,,SW1X 8BD
"9 CHELSEA EMBANKMENT, CHELSEA SW3 4LE","George Robinson, 1st Marquess of Ripon","https://en.wikipedia.org/wiki/George_Robinson,_1st_Marquess_of_Ripon",01/01/1959,"George Robinson, 1st Marquess of Ripon_1959",9,,SW3 4LE
"9 HYDE PARK GATE, KENSINGTON SW7 5DG",Robert Baden-Powell,"https://en.wikipedia.org/wiki/Robert_Baden-Powell,_1st_Baron_Baden-Powell",01/01/1972,Robert Baden-Powell_1972,9, HYDE PARK GATE,SW7 5DG
"9 LOWER MALL, CHISWICK W6 9DJ",George Devine,https://en.wikipedia.org/wiki/George_Devine,01/01/1992,George Devine_1992,9,,W6 9DJ
"9 CLIFTON GARDENS, MAIDA VALE W9 1AL",Sir Ambrose Fleming,https://en.wikipedia.org/wiki/Ambrose_Fleming,01/01/1971,Sir Ambrose Fleming_1971,9,,W9 1AL
"10 HASLEMERE ROAD, CROUCH END N8 9QX",Frank Matcham,https://en.wikipedia.org/wiki/Frank_Matcham,01/01/2007,Frank Matcham_2007,10, HASLEMERE ROAD,N8 9QX
"10 HANOVER TERRACE, REGENT'S PARK NW1 4RJ",Ralph Vaughan Williams O. M.,https://en.wikipedia.org/wiki/Vaughan_Williams,01/01/1972,Ralph Vaughan Williams O. M._1972,10, HANOVER TERRACE,NW1 4RJ
"10 KENT TERRACE, REGENT'S PARK NW1 4RP",E. H. Shepard,https://en.wikipedia.org/wiki/E._H._Shepard,01/01/1993,E. H. Shepard_1993,10, KENT TERRACE,NW1 4RP
"10 FORDWYCH ROAD, WEST HAMPSTEAD NW2 3TP",David Bomberg,https://en.wikipedia.org/wiki/David_Bomberg,01/01/1996,David Bomberg_1996,10, FORDWYCH ROAD,NW2 3TP
"10 HALL ROAD, ST JOHN'S WOOD NW8 9PD",John William Waterhouse,https://en.wikipedia.org/wiki/John_William_Waterhouse,01/01/2002,John William Waterhouse_2002,10, HALL ROAD,NW8 9PD
"10 GOWER STREET, BLOOMSBURY WC1E 6DP",Lady Ottoline Morrell,https://en.wikipedia.org/wiki/Ottoline_Morrell,01/01/1986,Lady Ottoline Morrell_1986,10,,WC1E 6DP
"10 SOUTH STREET, MAYFAIR W1K 1DE",Florence Nightingale,https://en.wikipedia.org/wiki/Florence_Nightingale,01/01/1955,Florence Nightingale_1955,10,,W1K 1DE
"10 ST JAMES'S SQUARE, ST JAMES'S SW1Y 4LE","William Pitt, 1st Earl of Chatham, Edward Smith-Stanley, 14th Earl of Derby, and William Gladstone,  and","https://en.wikipedia.org/wiki/William_Pitt,_1st_Earl_of_Chatham",01/01/1910,"William Pitt, 1st Earl of Chatham, Edward Smith-Stanley, 14th Earl of Derby, and William Gladstone,  and _1910",10,S SQUARE,SW1Y 4LE
"10 REDCLIFFE STREET, CHELSEA SW10 9DT",Austin Dobson,https://en.wikipedia.org/wiki/Henry_Austin_Dobson,01/01/1959,Austin Dobson_1959,10,,SW10 9DT
"10 ARGYLL STREET, SOHO W1F 7TQ",Major-General William Roy,https://en.wikipedia.org/wiki/William_Roy,01/01/1979,Major-General William Roy_1979,10,,W1F 7TQ
"10 CURZON STREET, MAYFAIR W1J 5HH",Nancy Mitford,https://en.wikipedia.org/wiki/Nancy_Mitford,01/01/1999,Nancy Mitford_1999,10,,W1J 5HH
"10 HERTFORD STREET, MAYFAIR W1J 7RL","[General John Burgoyne, Richard Brinsley Sheridan]","[https://en.wikipedia.org/wiki/John_Burgoyne, https://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan]",01/01/1954,General John Burgoyne_1954,10,,W1J 7RL
"10 HOWLEY PLACE, PADDINGTON W2 1XA",Lokamanya Tilak,https://en.wikipedia.org/wiki/Lokamanya_Tilak,01/01/1988,Lokamanya Tilak_1988,10, HOWLEY PLACE,W2 1XA
"10 KENSINGTON CHURCH WALK, HOLLAND PARK W8 4NB",Ezra Pound,https://en.wikipedia.org/wiki/Ezra_Pound,01/01/2004,Ezra Pound_2004,10, KENSINGTON CHURCH WALK,W8 4NB
"10 PALACE GREEN, KENSINGTON W8 4QA",King Haakon VII,https://en.wikipedia.org/wiki/Haakon_VII_of_Norway,01/01/2005,King Haakon VII_2005,10,,W8 4QA
"10 BLOOMSBURY SQUARE, BLOOMSBURY WC1A 2LP",Dr. Robert Willan,https://en.wikipedia.org/wiki/Robert_Willan,01/01/1949,Dr. Robert Willan_1949,10, BLOOMSBURY SQUARE,WC1A 2LP
"11 FORTY LANE, WEMBLEY HA9 9EA",Arthur Lucan Arthur Trowle,https://en.wikipedia.org/wiki/Arthur_Lucan,01/01/1978,Arthur Lucan Arthur Trowle_1978,11, FORTY LANE,HA9 9EA
"11 HANOVER TERRACE, REGENT'S PARK NW1 4RJ",Anthony Salvin,https://en.wikipedia.org/wiki/Anthony_Salvin,01/01/1990,Anthony Salvin_1990,11, HANOVER TERRACE,NW1 4RJ
"11 ST MARK'S CRESCENT, PRIMROSE HILL NW1 7TS",Sir Arthur Hugh Clough,https://en.wikipedia.org/wiki/Arthur_Hugh_Clough,01/01/2009,Sir Arthur Hugh Clough_2009,11,S CRESCENT,NW1 7TS
"11 GRANVILLE PARK, LEWISHAM SE13 7DY",Samuel Smiles,https://en.wikipedia.org/wiki/Samuel_Smiles,01/01/1959,Samuel Smiles_1959,11,,SE13 7DY
"11 CARLTON HOUSE TERRACE, ST JAMES'S SW1Y 5AJ",William Ewart Gladstone,https://en.wikipedia.org/wiki/William_Ewart_Gladstone,01/01/1925,William Ewart Gladstone_1925,11, CARLTON HOUSE TERRACE,SW1Y 5AJ
"11 WARWICK GARDENS, KENSINGTON W14 8PH",Gilbert Keith Chesterton,https://en.wikipedia.org/wiki/G._K._Chesterton,01/01/1952,Gilbert Keith Chesterton_1952,11,,W14 8PH
"11 BOLTON STREET, MAYFAIR W1J 8BB",Fanny Burney,https://en.wikipedia.org/wiki/Fanny_Burney,01/01/1885,Fanny Burney_1885,11,,W1J 8BB
"11 SAVILE ROW, MAYFAIR W1S 3PS",Richard Bright,https://en.wikipedia.org/wiki/Richard_Bright_(physician),01/01/1979,Richard Bright_1979,11,,W1S 3PS
"11 RAVENSCOURT SQUARE, HAMMERSMITH W6 0TW",Ouida,https://en.wikipedia.org/wiki/Ouida,01/01/1952,Ouida_1952,11, RAVENSCOURT SQUARE,W6 0TW
"11 EDWARDES SQUARE, KENSINGTON W8 6HE",Goldsworthy Lowes Dickinson,https://en.wikipedia.org/wiki/Goldsworthy_Lowes_Dickinson,01/01/1956,Goldsworthy Lowes Dickinson_1956,11, EDWARDES SQUARE,W8 6HE
"11 BEDFORD SQUARE, BLOOMSBURY WC1B 3RF",Henry Cavendish,https://en.wikipedia.org/wiki/Henry_Cavendish,01/01/1903,Henry Cavendish_1903,11, BEDFORD SQUARE,WC1B 3RF
"11 ALDWYCH, COVENT GARDEN WC2B 4DG",Ivor Novello,https://en.wikipedia.org/wiki/Ivor_Novello,01/01/1973,Ivor Novello_1973,11,,WC2B 4DG
"12 HANBURY STREET, SPITALFIELDS E1 6QR",Bud Flanagan,https://en.wikipedia.org/wiki/Bud_Flanagan,01/01/1996,Bud Flanagan_1996,12, HANBURY STREET,E1 6QR
"12 SAVILE ROW, MAYFAIR W1S 3PS",George Grote,https://en.wikipedia.org/wiki/George_Grote,01/01/1905,George Grote_1905,12,,W1S 3PS
"12 SEYMOUR STREET, MARYLEBONE W1H 7HT",Michael William Balfe,https://en.wikipedia.org/wiki/Michael_William_Balfe,01/01/1912,Michael William Balfe_1912,12,,W1H 7HT
"12 ST JAMES'S SQUARE, ST JAMES'S SW1Y 4RB","Ada, Countess of Lovelace",https://en.wikipedia.org/wiki/Ada_Lovelace,01/01/1992,"Ada, Countess of Lovelace_1992",12,S SQUARE,SW1Y 4RB
"12 TENNISON ROAD, NORTH NORWOOD SE25 5RT",Sir Arthur Conan Doyle,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle,01/01/1973,Sir Arthur Conan Doyle_1973,12, TENNISON ROAD,SE25 5RT
"12 WESTWOOD HILL, SYDENHAM SE26 6QR","[Sir George Grove, Sir Ernest Shackleton]","[https://en.wikipedia.org/wiki/George_Grove, https://en.wikipedia.org/wiki/Ernest_Shackleton]",01/01/2016,Sir George Grove_2016,12,,SE26 6QR
"12 UPPER BELGRAVE STREET, BELGRAVIA SW1X 8BA",Walter Bagehot,https://en.wikipedia.org/wiki/Walter_Bagehot,01/01/1967,Walter Bagehot_1967,12,,SW1X 8BA
"12 ARUNDEL GARDENS, NOTTING HILL W11 2LA",Sir William Ramsay,https://en.wikipedia.org/wiki/William_Ramsay,01/01/2011,Sir William Ramsay_2011,12,,W11 2LA
"12 PARK CRESCENT, REGENT'S PARK W1B 1PH",Lord Lister,"https://en.wikipedia.org/wiki/Joseph_Lister,_1st_Baron_Lister",01/01/1915,Lord Lister_1915,12, PARK CRESCENT,W1B 1PH
"12 HYDE PARK STREET, PADDINGTON W2 2JN",William Henry Smith,https://en.wikipedia.org/wiki/William_Henry_Smith_(1825%E2%80%931891),01/01/1961,William Henry Smith_1961,12,,W2 2JN
"12 HAMMERSMITH TERRACE, CHISWICK W6 9TS",Sir Alan Herbert A. P .H.,https://en.wikipedia.org/wiki/A._P._Herbert,01/01/1993,Sir Alan Herbert A. P .H._1993,12, HAMMERSMITH TERRACE,W6 9TS
"12 EARLS TERRACE, KENSINGTON W8 6LP",Walter Pater,https://en.wikipedia.org/wiki/Walter_Pater,01/01/2004,Walter Pater_2004,12, EARLS TERRACE,W8 6LP
"12 BUCKINGHAM STREET, COVENT GARDEN WC2N 6DF",Samuel Pepys,https://en.wikipedia.org/wiki/Samuel_Pepys,01/01/1947,Samuel Pepys_1947,12,,WC2N 6DF
"13 LYME STREET, CAMDEN TOWN NW1 0EH",Ruth First and Joe Slovo,https://en.wikipedia.org/wiki/Ruth_First,01/01/2003,Ruth First and Joe Slovo_2003,13,,NW1 0EH
"13 CHESTER TERRACE, REGENT'S PARK NW1 4ND",C. R. Cockerell,https://en.wikipedia.org/wiki/Charles_Robert_Cockerell,01/01/1989,C. R. Cockerell_1989,13, CHESTER TERRACE,NW1 4ND
"13 ST MARK'S CRESCENT, PRIMROSE HILL NW1 7TS",A. J. P. Taylor,https://en.wikipedia.org/wiki/A._J._P._Taylor,01/01/2013,A. J. P. Taylor_2013,13,S CRESCENT,NW1 7TS
"13 MINSTER ROAD, WEST HAMPSTEAD NW2 3SE",Dame Ida Mann,https://en.wikipedia.org/wiki/Ida_Mann,01/01/2012,Dame Ida Mann_2012,13, MINSTER ROAD,NW2 3SE
"13 WELL WALK, HAMPSTEAD NW3 1BY",Henry Meyers Hyndman,https://en.wikipedia.org/wiki/Henry_Hyndman,01/01/1972,Henry Meyers Hyndman_1972,13, WELL WALK,NW3 1BY
"13 BLENHEIM ROAD, ST JOHN'S WOOD NW8 0LU",Sir Charles Santley,https://en.wikipedia.org/wiki/Charles_Santley,01/01/1935,Sir Charles Santley_1935,13, BLENHEIM ROAD,NW8 0LU
"13 HANOVER TERRACE, REGENT'S PARK NW1 4JR",H. G. Wells,https://en.wikipedia.org/wiki/H._G._Wells,01/01/1966,H. G. Wells_1966,13, HANOVER TERRACE,NW1 4JR
"13 HANDEN ROAD, LEE SE12 8NP",Sir Stanley Unwin,https://en.wikipedia.org/wiki/Stanley_Unwin_(publisher),01/01/1984,Sir Stanley Unwin_1984,13, HANDEN ROAD,SE12 8NP
"13 BEVERLEY CLOSE, BARNES SW13 0EH",Herbert Howells,https://en.wikipedia.org/wiki/Herbert_Howells,01/01/2011,Herbert Howells_2011,13,,SW13 0EH
"13 PENDENNIS ROAD, STREATHAM SW16 2SS",Sir Arnold Bax,https://en.wikipedia.org/wiki/Arnold_Bax,01/01/1993,Sir Arnold Bax_1993,13, PENDENNIS ROAD,SW16 2SS
"13 MALLORD STREET, CHELSEA SW3 6DT",A. A. Milne,https://en.wikipedia.org/wiki/A._A._Milne,01/01/1979,A. A. Milne_1979,13,,SW3 6DT
"13 RODENHURST ROAD, CLAPHAM SW4 8AE",Arthur Henderson,https://en.wikipedia.org/wiki/Arthur_Henderson,01/01/1980,Arthur Henderson_1980,13, RODENHURST ROAD,SW4 8AE
"13 MANSFIELD STREET, MARYLEBONE W1G 9NZ",John Loughborough Pearson and Sir Edwin Landseer Lutyens and ,https://en.wikipedia.org/wiki/John_Loughborough_Pearson,01/01/1962,John Loughborough Pearson and Sir Edwin Landseer Lutyens and _1962,13,,W1G 9NZ
"13 ALBION STREET, PADDINGTON W2 2AS",Sir Charles Vyner Brooke,https://en.wikipedia.org/wiki/Charles_Vyner_Brooke,01/01/1983,Sir Charles Vyner Brooke_1983,13,,W2 2AS
"13 HOLLAND STREET, HOLLAND PARK W8 4NA",Walter Crane,https://en.wikipedia.org/wiki/Walter_Crane,01/01/1952,Walter Crane_1952,13,,W8 4NA
"13 BEDFORD SQUARE, BLOOMSBURY WC1B 3RA",Sir Harry Ricardo,https://en.wikipedia.org/wiki/Harry_Ricardo,01/01/2005,Sir Harry Ricardo_2005,13, BEDFORD SQUARE,WC1B 3RA
"14 WESLEY ROAD, LEYTON E10 6JF",Harry Beck,https://en.wikipedia.org/wiki/Harry_Beck,01/01/2013,Harry Beck_2013,14, WESLEY ROAD,E10 6JF
"14 ST MARK'S CRESCENT, PRIMROSE HILL NW1 7TS",William Roberts,https://en.wikipedia.org/wiki/William_Roberts_(painter),01/01/2003,William Roberts_2003,14,S CRESCENT,NW1 7TS
"14 ADAMSON ROAD, BELSIZE PARK NW3 3HR",Robert Polhill Bevan,https://en.wikipedia.org/wiki/Robert_Polhill_Bevan,01/01/1999,Robert Polhill Bevan_1999,14, ADAMSON ROAD,NW3 3HR
"14 GOWER STREET, BLOOMSBURY WC1E 6DP",James Robinson,https://en.wikipedia.org/w/index.php?title=James_Robinson_(dentist)&action=edit&redlink=1,01/01/1991,James Robinson_1991,14,,WC1E 6DP
"14 MANCHESTER SQUARE, MARYLEBONE W1U 3PP","Alfred, Lord Milner","https://en.wikipedia.org/wiki/Alfred_Milner,_1st_Viscount_Milner",01/01/1967,"Alfred, Lord Milner_1967",14, MANCHESTER SQUARE,W1U 3PP
"14 PERCY STREET, FITZROVIA W1T 1DR",Coventry Patmore,https://en.wikipedia.org/wiki/Coventry_Patmore,01/01/1960,Coventry Patmore_1960,14,,W1T 1DR
"14 PRINCES GATE, KENSINGTON GORE, KENSINGTON SW7 1PU",John Pierpoint Morgan and Junius S. Morgan,https://en.wikipedia.org/wiki/John_Pierpoint_Morgan,01/01/2004,John Pierpoint Morgan and Junius S. Morgan_2004,14, PRINCES GATE,SW7 1PU
"14 SAVILE ROW, MAYFAIR W1S 3JN",Richard Brinsley Sheridan,https://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan,01/01/1881,Richard Brinsley Sheridan_1881,14,,W1S 3JN
"14 SOHO SQUARE, SOHO W1D 3QG",Mary Seacole,https://en.wikipedia.org/wiki/Mary_Seacole,01/01/2007,Mary Seacole_2007,14, SOHO SQUARE,W1D 3QG
"14 SOUTH AUDLEY STREET, MAYFAIR W1K 1HN",Sir Richard Westmacott,https://en.wikipedia.org/wiki/Richard_Westmacott,01/01/1955,Sir Richard Westmacott_1955,14,,W1K 1HN
"14 GUNTER GROVE, CHELSEA SW10 0UN",John Ireland,https://en.wikipedia.org/wiki/John_Ireland_(composer),01/01/1996,John Ireland_1996,14,,SW10 0UN
"14 HARLEY GARDENS, CHELSEA SW10 9SW",Frank Dobson,https://en.wikipedia.org/wiki/Frank_Dobson_(sculptor),01/01/1993,Frank Dobson_1993,14,,SW10 9SW
"14 THE TERRACE, BARNES SW13 0NP",Dame Ninette de Valois,https://en.wikipedia.org/wiki/Ninette_de_Valois,01/01/2006,Dame Ninette de Valois_2006,14, THE TERRACE,SW13 0NP
"14 QUEEN ANNE'S GATE, WESTMINSTER SW1H 9AA",Charles Townley,https://en.wikipedia.org/wiki/Charles_Townley,01/01/1985,Charles Townley_1985,14,S GATE,SW1H 9AA
"14 BARTON STREET, WESTMINSTER SW1P 3NE",T. E. Lawrence,https://en.wikipedia.org/wiki/T._E._Lawrence,01/01/1966,T. E. Lawrence_1966,14,,SW1P 3NE
"14 PAULTONS SQUARE, CHELSEA SW3 5AP",Henry Watson Fowler,https://en.wikipedia.org/wiki/Henry_Watson_Fowler,01/01/2016,Henry Watson Fowler_2016,14, PAULTONS SQUARE,SW3 5AP
"14 CLAPHAM COMMON NORTHSIDE, CLAPHAM SW4 0RF",Graham Greene,https://en.wikipedia.org/wiki/Graham_Greene,01/01/2011,Graham Greene_2011,14,,SW4 0RF
"14 DOVER MANSIONS, CANTERBURY CRESCENT, BRIXTON SW9 7QF",Henry Havelock Ellis,https://en.wikipedia.org/wiki/Henry_Havelock_Ellis,01/01/1981,Henry Havelock Ellis_1981,14, CANTERBURY CRESCENT,SW9 7QF
"14 CAVENDISH PLACE, MARYLEBONE W1G 9DJ",George Edmund Street,https://en.wikipedia.org/wiki/George_Edmund_Street,01/01/1980,George Edmund Street_1980,14, CAVENDISH PLACE,W1G 9DJ
"14 CONNAUGHT SQUARE, PADDINGTON W2 2HG",Marie Taglioni,https://en.wikipedia.org/wiki/Marie_Taglioni,01/01/1960,Marie Taglioni_1960,14, CONNAUGHT SQUARE,W2 2HG
"14 EARLS TERRACE, KENSINGTON W8 6LP",Thomas Daniell,https://en.wikipedia.org/wiki/Thomas_Daniell,01/01/1999,Thomas Daniell_1999,14, EARLS TERRACE,W8 6LP
"14 DOUGHTY STREET, HOLBORN WC1N 2PL",Sydney Smith,https://en.wikipedia.org/wiki/Sydney_Smith,01/01/1906,Sydney Smith_1906,14,,WC1N 2PL
"15 GLOUCESTER GATE (ALBANY STREET FRONTAGE), REGENT'S PARK NW1 4HG",W. W. Jacobs,https://en.wikipedia.org/wiki/W._W._Jacobs,01/01/1998,W. W. Jacobs_1998,15, GLOUCESTER GATE,NW1 4HG
"15 WILDWOOD ROAD, GOLDERS GREEN NW11 6UP,",Frank Pick,https://en.wikipedia.org/wiki/Frank_Pick,01/01/1981,Frank Pick_1981,15, WILDWOOD ROAD,NW11 6UP
"15 CAVENDISH SQUARE, MARYLEBONE W1G 9DB",Sir Jonathan Hutchinson,https://en.wikipedia.org/wiki/Jonathan_Hutchinson,01/01/1981,Sir Jonathan Hutchinson_1981,15, CAVENDISH SQUARE,W1G 9DB
"15 GLENSHAW MANSIONS, BRIXTON ROAD, KENNINGTON SW9 0DS",Charlie Chaplin,https://en.wikipedia.org/wiki/Charlie_Chaplin,01/01/1951,Charlie Chaplin_1951,15, BRIXTON ROAD,SW9 0DS
"15 PERCY STREET, FITZROVIA W1T 1DU",Charles Laughton,https://en.wikipedia.org/wiki/Charles_Laughton,01/01/1992,Charles Laughton_1992,15,,W1T 1DU
"15 POLAND STREET, SOHO W1F 8QE",Percy Bysshe Shelley,https://en.wikipedia.org/wiki/Percy_Bysshe_Shelley,01/01/2000,Percy Bysshe Shelley_2000,15,,W1F 8QE
"15 SUFFOLK STREET, LEICESTER SQUARE SW1Y 4HG",Richard Dadd,https://en.wikipedia.org/wiki/Richard_Dadd,01/01/1977,Richard Dadd_1977,15, LEICESTER SQUARE,SW1Y 4HG
"15 MORDEN ROAD, BLACKHEATH SE3 0AA",Charles Gounod,https://en.wikipedia.org/wiki/Charles_Gounod,01/01/1961,Charles Gounod_1961,15, MORDEN ROAD,SE3 0AA
"15 BUCKINGHAM GATE, ST JAMES'S SW1E 6LB",Wilfrid Scawen Blunt,https://en.wikipedia.org/wiki/Wilfrid_Scawen_Blunt,01/01/1979,Wilfrid Scawen Blunt_1979,15, BUCKINGHAM GATE,SW1E 6LB
"15 RANELAGH ROAD, PIMLICO SW1V 3EX",Douglas Macmillan,https://en.wikipedia.org/wiki/Douglas_Macmillan,01/01/1997,Douglas Macmillan_1997,15, RANELAGH ROAD,SW1V 3EX
"15 EATON PLACE, BELGRAVIA SW1X 8BN",Lord Kelvin,"https://en.wikipedia.org/wiki/William_Thomson,_1st_Baron_Kelvin",01/01/1996,Lord Kelvin_1996,15, EATON PLACE,SW1X 8BN
"15 UPPER MALL, CHISWICK W6 9TA",Thomas James Cobden-Sanderson,https://en.wikipedia.org/wiki/Thomas_James_Cobden-Sanderson,01/01/1974,Thomas James Cobden-Sanderson_1974,15,,W6 9TA
"15 GLOUCESTER WALK, HOLLAND PARK W8 4HZ",Jean Sibelius,https://en.wikipedia.org/wiki/Jean_Sibelius,01/01/1995,Jean Sibelius_1995,15, GLOUCESTER WALK,W8 4HZ
"16 BURLINGTON RISE, OAKLEIGH PARK EN4 8NN,",Sir Karl Popper,https://en.wikipedia.org/wiki/Karl_Popper,01/01/2008,Sir Karl Popper_2008,16,BURLINGTON RISE,EN4 8NN
