,address,person,wiki,year
349,"49 Kew GreenKew TW9 3AA, ",Sir William Hooker    and Sir Joseph Hooker   ,https://en.wikipedia.org/wiki/William_Jackson_Hooker,2010-01-01
350,"13 Beverley CloseBarnes SW13 0EH, ",Herbert Howells   ,https://en.wikipedia.org/wiki/Herbert_Howells,2011-01-01
351,"Eastside House, 22 Kew GreenKew TW9 3BH, ",Arthur Hughes   ,https://en.wikipedia.org/wiki/Arthur_Hughes_(artist),1993-01-01
352,"46 Richmond HillRichmond TW10 4QX, ",Dame Celia Johnson   ,https://en.wikipedia.org/wiki/Celia_Johnson,2008-01-01
353,"St James independent school for Boys, Pope's Villa, 19 Cross DeepTwickenham TW1 4QG, ",Henry Labouchere   ,https://en.wikipedia.org/wiki/Henry_Labouchere,2000-01-01
354,"Grey Court, Ham StreetHam TW10 7HN, ",Cardinal Newman   ,https://en.wikipedia.org/wiki/John_Henry_Newman,1981-01-01
355,"Clarence House, 2 The VineyardRichmond TW10 6AQ, ",Bernardo O'Higgins   ,https://en.wikipedia.org/wiki/Bernardo_O%27Higgins,1994-01-01
356,"39 Westmoreland RoadBarnes SW13 9RZ, ",Kurt Schwitters   ,https://en.wikipedia.org/wiki/Kurt_Schwitters,1984-01-01
357,"The Royal Hospital, Kew Foot RoadRichmond TW9 2TE, ",James Thomson   ,https://en.wikipedia.org/wiki/James_Thomson_(poet),2005-01-01
358,"Sandycombe Lodge, 40 Sandycombe RoadTwickenham TW1 2LR, ",J.M.W. Turner R.A.   ,https://en.wikipedia.org/wiki/J._M._W._Turner,1977-01-01
359,"287 Sheen LaneEast Sheen SW14 8RN,, ",Sir Robert Watson-Watt   ,https://en.wikipedia.org/wiki/Robert_Watson-Watt,2017-01-01
360,"82 Waldegrave RoadTeddington TW11 8NY, ",Edward Whymper   ,https://en.wikipedia.org/wiki/Edward_Whymper,2011-01-01
361,"Hogarth House, 34 Paradise RoadRichmond TW9 1SE, ",Leonard Woolf    and Virginia Woolf   ,https://en.wikipedia.org/wiki/Leonard_Woolf,1976-01-01
362,"The Old Court House, Hampton Court GreenEast Molesey KT8 9BS51°24′19″N 0°20′32″W﻿ / ﻿51.4052492°N 0.3421341°W﻿ / 51.4052492; -0.3421341, ",Sir Christopher Wren   ,https://en.wikipedia.org/wiki/Christopher_Wren,1996-01-01
363,"3 Crescent Wood RoadSydenham SE26 6RT, ",John Logie Baird   ,https://en.wikipedia.org/wiki/John_Logie_Baird,1977-01-01
364,"39 Colby RoadGipsy Hill SE19 1HA, ",Annie Besant   ,https://en.wikipedia.org/wiki/Annie_Besant,1963-01-01
365,"188 Camberwell GroveDenmark Hill SE5 8RJ, ",Joseph Chamberlain   ,https://en.wikipedia.org/wiki/Joseph_Chamberlain,1920-01-01
366,"78 Denman RoadPeckham SE15 5NR, ",Sir Alan Cobham   ,https://en.wikipedia.org/wiki/Alan_Cobham,2003-01-01
367,"47 Crystal Palace RoadEast Dulwich SE22 9EX, ",Henry Cotton   ,https://en.wikipedia.org/wiki/Henry_Cotton_(golfer),2017-01-01
368,"153a East StreetWalworth SE17 2SD, ",Dr. Charles Vickery Drysdale   ,https://en.wikipedia.org/wiki/Charles_Vickery_Drysdale,1988-01-01
369,"58 Underhill RoadEast Dulwich SE22 0QT, ",C. S. Forester   ,https://en.wikipedia.org/wiki/C._S._Forester,1990-01-01
370,"45 Farquhar RoadUpper Norwood SE19 1SS, ",Leslie Howard   ,https://en.wikipedia.org/wiki/Leslie_Howard_(actor),2013-01-01
371,"36 Forest Hill RoadPeckham Rye SE22 0RR, ",Boris Karloff   ,https://en.wikipedia.org/wiki/Boris_Karloff,1998-01-01
372,"164 Queens RoadPeckham SE15 2HP, ",Dr. Harold Moody   ,https://en.wikipedia.org/wiki/Harold_Moody_(physician),1995-01-01
373,"84 Burbage RoadHerne Hill SE24 9HE, ",Scipio Africanus Mussabini   ,https://en.wikipedia.org/wiki/Sam_Mussabini,2012-01-01
374,"131 St George's RoadSouthwark SE1 6HY, ",George Myers   ,https://en.wikipedia.org/wiki/George_Myers_(builder),1999-01-01
375,"5 Colyton RoadPeckham Rye SE22 0NE, ",Percy Lane Oliver   ,https://en.wikipedia.org/w/index.php?title=Percy_Lane_Oliver&action=edit&redlink=1,1979-01-01
376,"42 Queen's RoadPeckham SE15 2HP, ",Dr. Innes Pearse and Dr George Scott Williamson       ,https://en.wikipedia.org/wiki/The_Peckham_Experiment,2013-01-01
377,"51 Herne HillHerne Hill SE24 9NE, ",Sax Rohmer   ,https://en.wikipedia.org/wiki/Sax_Rohmer,1985-01-01
378,"Winchester House, 94 Southwark Bridge RoadBorough SE1 0EG, ",Sir Eyre Massey Shaw   ,https://en.wikipedia.org/wiki/Sir_Eyre_Massey_Shaw,2000-01-01
379,"Fountain House, 17 Sydenham HillSydenham SE26 6SH, ",Sir Francis Pettit Smith   ,https://en.wikipedia.org/wiki/Francis_Pettit_Smith,2007-01-01
381,"58 Solent House, Ben Jonson RoadStepney E1 3NN, ",Dr. Barnardo   ,https://en.wikipedia.org/wiki/Thomas_John_Barnardo,1953-01-01
382,"32 Bow RoadBow E3 4LN, ",Thomas Barnardo   ,https://en.wikipedia.org/wiki/Thomas_John_Barnardo,2016-01-01
383,"The Directors' House, Old Truman Brewery, 91 Brick LaneShoreditch E1, ",Sir Thomas Fowell Buxton   ,https://en.wikipedia.org/wiki/Sir_Thomas_Fowell_Buxton,2007-01-01
384,"London Hospital, Whitechapel RoadWhitechapel E1 1BB, ",Edith Cavell   ,https://en.wikipedia.org/wiki/Edith_Cavell,1988-01-01
385,"43 Trinity SquareTower Hill EC3N 4DJ, ",Reverend P. T. B. 'Tubby' Clayton   ,https://en.wikipedia.org/wiki/Tubby_Clayton,1995-01-01
386,"91 Ashfield StreetWhitechapel E1 2HA, ",Sir Jack Cohen   ,https://en.wikipedia.org/wiki/Jack_Cohen_(businessman),2009-01-01
387,"88 Mile End RoadMile End E1 4UN, ",Captain James Cook   ,https://en.wikipedia.org/wiki/James_Cook,1970-01-01
388,"12 Hanbury StreetSpitalfields E1 6QR, ",Bud Flanagan   ,https://en.wikipedia.org/wiki/Bud_Flanagan,1996-01-01
389,"Railway Bridge, Grove RoadBow E3, ",Flying Bomb   ,https://en.wikipedia.org/wiki/V-1_flying_bomb,1988-01-01
390,"Kingsley Hall, Powis RoadBromley by Bow E3 3HJ, ",Mahatma Gandhi   ,https://en.wikipedia.org/wiki/Mahatma_Gandhi,1954-01-01
391,"2 Princelet StreetSpitalfields E1 6QH, ",Anna Maria Garthwaite   ,https://en.wikipedia.org/wiki/Anna_Maria_Garthwaite,1998-01-01
392,"32 Elder StreetSpitalfields E1 6BT, ",Mark Gertler   ,https://en.wikipedia.org/wiki/Mark_Gertler_(artist),2000-01-01
393,"Burrells Wharf, 262 Westferry Road, Isle of Dogs, London E14 3TP, ",SS Great Eastern   ,https://en.wikipedia.org/wiki/SS_Great_Eastern,1954-01-01
394,"St Philip's Vicarage, Newark StreetWhitechapel E1 2AA, ",John Richard Green   ,https://en.wikipedia.org/wiki/John_Richard_Green,1910-01-01
395,"Royal Foundation of St Katherine, 2 Butcher RowLimehouse E14 8DS, ",The Reverend St. John Groser   ,https://en.wikipedia.org/wiki/John_Groser,1990-01-01
396,"71 Vallance RoadBethnal Green E2 5BS, ",Mary Hughes   ,https://en.wikipedia.org/wiki/Mary_Hughes,1961-01-01
397,"Toynbee Hall, Commercial StreetWhitechapel E1 6LS, ",Dr. Jimmy Mallon C. H.   ,https://en.wikipedia.org/wiki/James_Joseph_Mallon,1984-01-01
398,"King Edward Memorial Park, The Highway, Shadwell, London E1, ",Ratcliff Cross,https://en.wikipedia.org/wiki/Ratcliff_Cross,1922-01-01
399,"Whitechapel Library, 77 High StreetWhitechapel E1 7QX, ",Isaac Rosenberg   ,https://en.wikipedia.org/wiki/Isaac_Rosenberg,1987-01-01
400,"Clergy House, Wapping LaneShadwell E1W 2RW, ",Lincoln Stanhope Wainwright   ,https://en.wikipedia.org/w/index.php?title=Lincoln_Stanhope_Wainwright&action=edit&redlink=1,1961-01-01
401,"288 Old Ford RoadOld Ford E3 5SP, ",Israel Zangwill   ,https://en.wikipedia.org/wiki/Israel_Zangwill,1965-01-01
406,"55 Brynmaer RoadBattersea SW11 4EN, ",John Richard Archer   ,https://en.wikipedia.org/wiki/John_Richard_Archer,2013-01-01
407,"40 Nightingale LaneClapham SW12 8TF, ",H. M. Bateman   ,https://en.wikipedia.org/wiki/H._M._Bateman,1997-01-01
408,"26 Gwendolen AvenuePutney SW15 6EH, ",Edvard Beneš   ,https://en.wikipedia.org/wiki/Edvard_Bene%C5%A1,1978-01-01
409,"110 Clapham Common NorthsideClapham SW4 0JL, ",John Burns   ,https://en.wikipedia.org/wiki/John_Burns,1950-01-01
410,"63 Albany Mansions, Albert Bridge RoadBattersea SW11 4QA, ",Norman Douglas   ,https://en.wikipedia.org/wiki/Norman_Douglas,1980-01-01
411,"3 Thurleigh AvenueBalham SW12 8AN, ",Gus Elen   ,https://en.wikipedia.org/wiki/Gus_Elen,1979-01-01
412,"Holly Lodge, 31 Wimbledon Park RoadWimbledon SW18 5SJ, ",George Eliot   ,https://en.wikipedia.org/wiki/George_Eliot,1905-01-01
413,"25 Winthorpe RoadPutney SW15 2LW, ",Henri Gaudier-Brzeska   ,https://en.wikipedia.org/wiki/Henri_Gaudier-Brzeska,2017-01-01
414,"172 Trinity RoadTooting SW17 7HT, ",Thomas Hardy   ,https://en.wikipedia.org/wiki/Thomas_Hardy,1962-01-01
415,"33 Lavender GardensClapham SW11 1DJ, ",G. A. Henty   ,https://en.wikipedia.org/wiki/G._A._Henty,1953-01-01
416,"Gatepost at Manresa House, Holybourne AvenueRoehampton SW15 4JD, ",Gerard Manley Hopkins   ,https://en.wikipedia.org/wiki/Gerard_Manley_Hopkins,1979-01-01
417,"67 Albert Bridge RoadBattersea SW11 4QE, ",Charles Sargeant Jagger   ,https://en.wikipedia.org/wiki/Charles_Sargeant_Jagger,2000-01-01
418,"24 Sugden RoadClapham SW11 5EF, ",Fred Knee   ,https://en.wikipedia.org/wiki/Fred_Knee,1986-01-01
419,"46 Longley RoadTooting SW17 9LL, ",Sir Harry Lauder   ,https://en.wikipedia.org/wiki/Harry_Lauder,1969-01-01
420,"Nightingale House, Nightingale LaneBalham SW12 8NB, ","Ted ""Kid"" Lewis   ",https://en.wikipedia.org/wiki/Ted_%22Kid%22_Lewis,2003-01-01
421,"3 Routh RoadWandsworth Common, Wandsworth SW18 3SW, ",Earl Lloyd-George of Dwyfor   ,https://en.wikipedia.org/wiki/David_Lloyd_George,2004-01-01
422,"14 Lyford Road, Wandsworth SW18 3LG, ",Sir Kenneth MacMillan   ,https://en.wikipedia.org/wiki/Kenneth_MacMillan,2004-01-01
423,"49 Overstrand Mansions, Prince of Wales DriveBattersea SW11 4EZ, ",Seán O'Casey   ,https://en.wikipedia.org/wiki/Se%C3%A1n_O%27Casey,1993-01-01
424,"71 Kenilworth Court, Lower Richmond RoadPutney SW15 1EN, ",Fred Russell   ,https://en.wikipedia.org/wiki/Fred_Russell_(ventriloquist),2009-01-01
425,"Fairlawn, 89 Wimbledon ParksideWimbledon SW19 5LR, ",Sir Edwin Saunders   ,https://en.wikipedia.org/wiki/Edwin_Saunders,1997-01-01
426,"Arch 75, Queen's CircusBattersea Park SW8 4ND, ",Short BrothersEustace Short    Horace Short    Oswald Short    ,https://en.wikipedia.org/wiki/Short_Brothers,2013-01-01
427,"99 Nightingale LaneBalham SW12 8LZ, ",Charles Haddon Spurgeon   ,https://en.wikipedia.org/wiki/Charles_Haddon_Spurgeon,1914-01-01
428,"The Pines, 11 Putney HillPutney SW15 6BA, ",Algernon Charles Swinburne    and Theodore Watts-Dunton   ,https://en.wikipedia.org/wiki/Algernon_Charles_Swinburne,1926-01-01
429,"61 Shelgate RoadClapham SW11 1BA, ",Edward Thomas   ,https://en.wikipedia.org/wiki/Edward_Thomas_(poet),1949-01-01
430,"113 Clapham Common NorthsideClapham SW4 9SN, ",John Walter   ,https://en.wikipedia.org/wiki/John_Walter_(publisher),1977-01-01
431,"111 Broomwood RoadBattersea SW11 6JTJ, ",William Wilberforce   ,https://en.wikipedia.org/wiki/William_Wilberforce,1906-01-01
432,"Battersea Vicarage, 42 Vicarage CrescentBattersea SW11 3LD, ",Edward Adrian Wilson   ,https://en.wikipedia.org/wiki/Edward_Adrian_Wilson,1935-01-01
720,"9 Elsworthy Terrace,Primrose Hill NW3 3DR, ",Agnes Arber née Robertson   ,https://en.wikipedia.org/wiki/Agnes_Arber,2018-01-01
721,"""Bolton House"", Windmill HillHampstead NW3 6SJ, ",Joanna Baillie   ,https://en.wikipedia.org/wiki/Joanna_Baillie,1900-01-01
722,"Heath End House, Spaniards RoadHampstead NW3 7JE, ",Dame Henrietta Barnett    and Samuel Barnett   ,https://en.wikipedia.org/wiki/Henrietta_Barnett,1983-01-01
723,"58 Grafton WayFitzrovia W1T 5DL, ",Andrés Bello   ,https://en.wikipedia.org/wiki/Andr%C3%A9s_Bello,1996-01-01
724,"44 Albert StreetCamden NW1 7NU, ",John Desmond Bernal   ,https://en.wikipedia.org/wiki/John_Desmond_Bernal,2001-01-01
725,"18 Frognal GardensHampstead NW3 6XA, ",Sir Walter Besant   ,https://en.wikipedia.org/wiki/Walter_Besant,1925-01-01
726,"31 Highgate West HillHighgate N6 6NP, ",Sir John Betjeman   ,https://en.wikipedia.org/wiki/John_Betjeman,2006-01-01
727,"14 Adamson RoadBelsize Park NW3 3HR, ",Robert Polhill Bevan   ,https://en.wikipedia.org/wiki/Robert_Polhill_Bevan,1999-01-01
728,"East Heath Lodge, 1 East Heath RoadHampstead NW3 1BN, ",Arthur Bliss   ,https://en.wikipedia.org/wiki/Arthur_Bliss,1993-01-01
729,"10 Fordwych RoadWest Hampstead NW2 3TP, ",David Bomberg   ,https://en.wikipedia.org/wiki/David_Bomberg,1996-01-01
730,"78 Marlborough Mansions, Cannon HillWest Hampstead NW6 1JT, ",Sir Adrian Boult C. H.   ,https://en.wikipedia.org/wiki/Adrian_Boult,1998-01-01
731,"37 Belsize Park Gardens,Belsize Park NW3 4JH, ",Henry Noel Brailsford   ,https://en.wikipedia.org/wiki/Henry_Noel_Brailsford,1983-01-01
732,"37 FrognalHampstead, NW3 6YD, ",Dennis Brain   ,https://en.wikipedia.org/wiki/Dennis_Brain,1995-01-01
733,"58 Doughty StreetHolborn WC1N 2LS, ",Vera Brittain    and Winifred Holtby   ,https://en.wikipedia.org/wiki/Vera_Brittain,1995-01-01
734,"56 Fortess RoadKentish Town NW5 2HG, ",Ford Madox Brown   ,https://en.wikipedia.org/wiki/Ford_Madox_Brown,1976-01-01
735,"17 Red Lion SquareHolborn WC1R 4QH, ",Sir Edward Burne-Jones    and William Morris    and Dante Gabriel Rossetti   ,https://en.wikipedia.org/wiki/Edward_Burne-Jones,1911-01-01
736,"6 Lyndhurst RoadHampstead NW3 5PX, ",Richard Burton   ,https://en.wikipedia.org/wiki/Richard_Burton,2011-01-01
737,"Camden School for Girls, Sandall RoadKentish Town NW5 2DB, ",Frances Mary Buss   ,https://en.wikipedia.org/wiki/Frances_Mary_Buss,2000-01-01
738,"7 Harley RoadSwiss Cottage NW3 3BX, ",Dame Clara Butt   ,https://en.wikipedia.org/wiki/Clara_Butt,1969-01-01
739,"42 Bedford SquareBloomsbury WC1B 3HX, ",William Butterfield   ,https://en.wikipedia.org/wiki/William_Butterfield,1978-01-01
740,"46 Great Russell StreetBloomsbury WC1B 3PA, ",Randolph Caldecott   ,https://en.wikipedia.org/wiki/Randolph_Caldecott,1977-01-01
741,"33 Ampton StreetKing's Cross WC1X 0LT, ",Thomas Carlyle   ,https://en.wikipedia.org/wiki/Thomas_Carlyle,1907-01-01
742,"11 Bedford SquareBloomsbury WC1B 3RF, ",Henry Cavendish   ,https://en.wikipedia.org/wiki/Henry_Cavendish,1903-01-01
743,"21 Fitzroy SquareFitzrovia W1T 6EL, ","Robert Gascoyne-Cecil, 3rd Marquess of Salisbury   ","https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",1965-01-01
744,"11 St Mark's CrescentPrimrose Hill NW1 7TS, ",Sir Arthur Hugh Clough   ,https://en.wikipedia.org/wiki/Arthur_Hugh_Clough,2009-01-01
745,"13 Chester TerraceRegent's Park NW1 4ND, ",C. R. Cockerell   ,https://en.wikipedia.org/wiki/Charles_Robert_Cockerell,1989-01-01
746,"40 Well WalkHampstead NW3 1BX, ",John Constable   ,https://en.wikipedia.org/wiki/John_Constable,1923-01-01
747,"293 Hampstead RoadCamden Town, NW1 3EA, ",George Cruikshank   ,https://en.wikipedia.org/wiki/George_Cruikshank,1885-01-01
748,"2 Dartmouth Park RoadKentish Town NW5 1SY, ",Richard D'Oyly Carte   ,https://en.wikipedia.org/wiki/Richard_D%27Oyly_Carte,2010-01-01
749,"Mount Vernon House, Mount VernonHampstead NW3 6QR, ",Sir Henry Dale   ,https://en.wikipedia.org/wiki/Henry_Hallett_Dale,1981-01-01
750,"91 Gower StreetBloomsbury WC1E 6AA, ",George Dance the Younger   ,https://en.wikipedia.org/wiki/George_Dance_the_Younger,1970-01-01
751,"91 Gower StreetBloomsbury NW1 0SY, ",William Daniell   ,https://en.wikipedia.org/wiki/William_Daniell,2000-01-01
752,"Biological Sciences Building, University College London, Gower StreetBloomsbury WC1E 6BT, ",Charles Darwin   ,https://en.wikipedia.org/wiki/Charles_Darwin,1961-01-01
753,"58 Grafton WayFitzrovia W1T 5DL, ",Francisco De Miranda   ,https://en.wikipedia.org/wiki/Francisco_De_Miranda,1996-01-01
754,"44 Belsize Park GardensBelsize Park NW3 4LY, ",Frederick Delius   ,https://en.wikipedia.org/wiki/Frederick_Delius,1999-01-01
755,"Flat 1 Ornan Court, Ornan RoadBelsize Park NW3 4PT, ",David Devant   ,https://en.wikipedia.org/wiki/David_Devant,2003-01-01
756,"48 Doughty Street (now the Charles Dickens Museum)Holborn WC1N 2LX, ",Charles Dickens   ,https://en.wikipedia.org/wiki/Charles_Dickens,1903-01-01
757,"22 Theobalds RoadHolborn WC1X 8NX, ","Benjamin Disraeli, Earl of Beaconsfield   ",https://en.wikipedia.org/wiki/Benjamin_Disraeli,1903-01-01
758,"91 Great Russell StreetBloomsbury WC1B 3PS, ",George du Maurier   ,https://en.wikipedia.org/wiki/George_du_Maurier,1960-01-01
759,"New Grove House, 28 Hampstead GroveHampstead NW3 6SP, ",George du Maurier   ,https://en.wikipedia.org/wiki/George_du_Maurier,1900-01-01
760,"Cannon Hall, 14 Cannon PlaceHampstead NW3 1EH, ",Sir Gerald du Maurier   ,https://en.wikipedia.org/wiki/Gerald_du_Maurier,1967-01-01
761,"119 High HolbornHolborn WC1V 6RD, ",Thomas Earnshaw   ,https://en.wikipedia.org/wiki/Thomas_Earnshaw,1948-01-01
762,"7 Fitzroy SquareFitzrovia W1T 5HL, ",Sir Charles Eastlake   ,https://en.wikipedia.org/wiki/Charles_Eastlake,1985-01-01
763,"51 Netherhall GardensHampstead NW3 5RJ, ",John Passmore Edwards   ,https://en.wikipedia.org/wiki/John_Passmore_Edwards,1988-01-01
764,"6 Bedford SquareBloomsbury WC1B 3RA, ",Lord Eldon   ,"https://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon",1954-01-01
765,"122 Regent's Park RoadPrimrose Hill NW1 8XL, ",Frederich Engels   ,https://en.wikipedia.org/wiki/Frederich_Engels,1972-01-01
766,"The White House, Osnaburgh StreetRegent's Park NW1 3UP, ",Fabian Society,https://en.wikipedia.org/wiki/Fabian_Society,1985-01-01
767,"2 Gower StreetBloomsbury WC1E 6DP, ",Millicent Garrett Fawcett   ,https://en.wikipedia.org/wiki/Millicent_Garrett_Fawcett,1954-01-01
768,"2 Albert TerracePrimrose Hill NW1 7SU, ",Roger Fenton   ,https://en.wikipedia.org/wiki/Roger_Fenton,1991-01-01
769,"97 FrognalHampstead NW3 6XT, ",Kathleen Ferrier   ,https://en.wikipedia.org/wiki/Kathleen_Ferrier,1979-01-01
770,"13 Lyme StreetCamden Town NW1 0EH, ",Ruth First    and Joe Slovo   ,https://en.wikipedia.org/wiki/Ruth_First,2003-01-01
771,"Inverforth House, North End WayHampstead NW3 7EU, ",Sir Ronald Aylmer Fisher   ,https://en.wikipedia.org/wiki/Ronald_Aylmer_Fisher,2002-01-01
772,"56 Fitzroy StreetFitzrovia W1T 5BU, ",Captain Matthew Flinders R. N.   ,https://en.wikipedia.org/wiki/Matthew_Flinders,1961-01-01
773,"6 St Augustine's RoadCamden Town NW1 9RN, ",Theodor Fontane   ,https://en.wikipedia.org/wiki/Theodor_Fontane,1974-01-01
774,"20 Maresfield Gardens (now the Freud Museum)Hampstead NW3 5SX, ",Anna Freud   ,https://en.wikipedia.org/wiki/Anna_Freud,2002-01-01
775,"20 Maresfield Gardens (now the Freud Museum)Hampstead NW3 5SX, ",Sigmund Freud   ,https://en.wikipedia.org/wiki/Sigmund_Freud,2002-01-01
776,"33 Fitzroy SquareFitzrovia W1P 6AY, ",Roger Fry   ,https://en.wikipedia.org/wiki/Roger_Fry,2010-01-01
777,"18 Frognal GardensHampstead NW3 6XA, ",Hugh Gaitskell   ,https://en.wikipedia.org/wiki/Hugh_Gaitskell,1986-01-01
778,"Grove Lodge, Admiral's WalkHampstead NW3 6RS, ",John Galsworthy   ,https://en.wikipedia.org/wiki/John_Galsworthy,1950-01-01
779,"71 FrognalHampstead NW3 6XY, ",Sir Harold Gillies   ,https://en.wikipedia.org/wiki/Harold_Gillies,1997-01-01
780,"19 Briardale GardensHampstead NW3 7PN, ",E H Gombrich   ,https://en.wikipedia.org/wiki/Ernst_Gombrich,2015-01-01
781,"31 Mornington CrescentCamden NW1 7RE, ",Spencer Frederick Gore   ,https://en.wikipedia.org/wiki/Spencer_Gore_(artist),2017-01-01
782,"39 FrognalHampstead NW3 6YD, ",Kate Greenaway   ,https://en.wikipedia.org/wiki/Kate_Greenaway,1949-01-01
783,"Platform 8, King's Cross stationKing's Cross N1 9AG, ",Sir Nigel Gresley   ,https://en.wikipedia.org/wiki/Nigel_Gresley,1997-01-01
784,"Lawn Road Flats, Hampstead, London NW3 2XD, ",Walter Gropius   Marcel Breuer   László Moholy-Nagy ,https://en.wikipedia.org/wiki/Walter_Gropius,2018-01-01
785,"'Hollycot', Vale of HealthHampstead NW3 1BB, ",Barbara Hammond    and J. L. Hammond   ,https://en.wikipedia.org/wiki/Barbara_Hammond,1972-01-01
786,"31 Pandora RoadWest Hampstead NW6 1TS, ","Alfred Harmsworth, 1st Viscount Northcliffe   ","https://en.wikipedia.org/wiki/Alfred_Harmsworth,_1st_Viscount_Northcliffe",1979-01-01
787,"Summit House, Red Lion SquareBloomsbury WC1R 4QD, ",John Harrison   ,https://en.wikipedia.org/wiki/John_Harrison,1954-01-01
788,"41 Bedford SquareBloomsbury,  WC1B 3HX, ",Sir Anthony Hope Hawkins Anthony Hope    ,https://en.wikipedia.org/wiki/Anthony_Hope_Hawkins,1976-01-01
789,"47 Downshire HillHampstead NW3 1NX, ",John Heartfield   ,https://en.wikipedia.org/wiki/John_Heartfield,2004-01-01
790,"Dr Williams's Library, 14 Gordon SquareBloomsbury WC1H 0AG, ",Robert Travers Herford   ,https://en.wikipedia.org/wiki/R._Travers_Herford,1990-01-01
791,"Royal Free Hospital, Pond StreetHampstead NW3 2QG, ","Sir Rowland Hill, K. C. B.   ",https://en.wikipedia.org/wiki/Rowland_Hill_(postal_reformer),1893-01-01
792,"35 Bedford SquareBloomsbury WC1B 3ES, ",Thomas Hodgkin   ,https://en.wikipedia.org/wiki/Thomas_Hodgkin,1985-01-01
793,"9 Fitzroy SquareFitzrovia W1T 5HW, ",August Wilhelm Hofmann   ,https://en.wikipedia.org/wiki/August_Wilhelm_Hofmann,1985-01-01
794,"23 Great Ormond StreetHolborn WC1N 3JB, ",John Howard   ,https://en.wikipedia.org/wiki/John_Howard_(prison_reformer),1908-01-01
795,"8 Taviton StreetBloomsbury WC1H 0BX, ",Hugh Price Hughes   ,https://en.wikipedia.org/wiki/Hugh_Price_Hughes,1989-01-01
796,"31 Steele's RoadChalk Farm NW3 4RE, ",Leslie 'Hutch' Hutchinson   ,https://en.wikipedia.org/wiki/Leslie_Hutchinson,2012-01-01
797,"16 Bracknell GardensHampstead NW3 7EB, ",Huxley familyAldous Huxley    Julian Huxley    Leonard Huxley    ,https://en.wikipedia.org/wiki/Huxley_family,1995-01-01
798,"13 Well WalkHampstead NW3 1BY, ",Henry Meyers Hyndman   ,https://en.wikipedia.org/wiki/Henry_Hyndman,1972-01-01
799,"15 Gloucester Gate (Albany Street frontage)Regent's Park NW1 4HG, ",W. W. Jacobs   ,https://en.wikipedia.org/wiki/W._W._Jacobs,1998-01-01
800,"19 Grove TerraceDartmouth Park NW5 IPH, ",Geoffrey Jellicoe   ,https://en.wikipedia.org/wiki/Geoffrey_Jellicoe,2009-01-01
801,"8 Regent's Park TerraceCamden Town NW1 7EE, ",Humphrey Jennings   ,https://en.wikipedia.org/wiki/Humphrey_Jennings,2006-01-01
802,"108 FrognalHampstead NW3 6XU, ",Tamara Karsavina   ,https://en.wikipedia.org/wiki/Tamara_Karsavina,1987-01-01
803,"Keats House (formerly Wentworth Place), Keats GroveHampstead NW3 2RR, ",John Keats   ,https://en.wikipedia.org/wiki/John_Keats,1896-01-01
804,"46 Gordon SquareBloomsbury WC1H 0PD, ",John Maynard Keynes   ,https://en.wikipedia.org/wiki/John_Maynard_Keynes,1975-01-01
805,"21 Mecklenburgh SquareBloomsbury WC1N 2DT, ",Sir Syed Ahmed Khan   ,https://en.wikipedia.org/wiki/Syed_Ahmed_Khan,1997-01-01
806,"197 Albany StreetRegent's Park NW1 4AB, ",Constant Lambert   ,https://en.wikipedia.org/wiki/Constant_Lambert,1997-01-01
807,"15 Percy StreetFitzrovia W1T 1DU, ",Charles Laughton   ,https://en.wikipedia.org/wiki/Charles_Laughton,1992-01-01
808,"1 Byron Villas, Vale of HealthHampstead NW3 1AR, ",D. H. Lawrence   ,https://en.wikipedia.org/wiki/D._H._Lawrence,1969-01-01
809,"Central School of Arts and Crafts, Southampton RowHolborn WC1B 4AP, ",William Richard Lethaby   ,https://en.wikipedia.org/wiki/William_Richard_Lethaby,1957-01-01
810,"20 Calthorpe StreetClerkenwell WC1X 0JS, ",William Richard Lethaby   ,https://en.wikipedia.org/wiki/William_Richard_Lethaby,1979-01-01
811,"Inverforth House, North End WayHampstead NW3 7EU, ","William Lever, 1st Viscount Leverhulme   ","https://en.wikipedia.org/wiki/William_Lever,_1st_Viscount_Leverhulme",2002-01-01
812,"20 Albert StreetCamden Town NW1 7LU, ",George Macdonald   ,https://en.wikipedia.org/wiki/George_Macdonald,2005-01-01
813,"9 Howitt RoadBelsize Park NW3 4LT, ",Ramsay MacDonald   ,https://en.wikipedia.org/wiki/Ramsay_MacDonald,1963-01-01
814,"13 Minster RoadWest Hampstead NW2 3SE, ",Dame Ida Mann   ,https://en.wikipedia.org/wiki/Ida_Mann,2012-01-01
815,"17 East Heath RoadHampstead NW3 1AL, ",Katherine Mansfield    and John Middleton Murry   ,https://en.wikipedia.org/wiki/Katherine_Mansfield,1969-01-01
816,"65 Lincoln's Inn FieldsHolborn WC2A 4LH, ",William Marsden   ,https://en.wikipedia.org/wiki/William_Marsden_(surgeon),1986-01-01
817,"21 Arkwright RoadHampstead NW3 6AA, ",Tobias Matthay   ,https://en.wikipedia.org/wiki/Tobias_Matthay,1979-01-01
818,"57d Hatton GardenHolborn EC1N 8HP, ",Sir Hiram Maxim   ,https://en.wikipedia.org/wiki/Hiram_Maxim,1966-01-01
